  0.11600000E-01  0.99994467E+00  -.95403008E-02  -.95408288E-02
  0.11700000E-01  0.99994371E+00  -.96225393E-02  -.96230810E-02
  0.11800000E-01  0.99994274E+00  -.97047776E-02  -.97053333E-02
  0.11900000E-01  0.99994177E+00  -.97870157E-02  -.97875857E-02
  0.12000000E-01  0.99994078E+00  -.98692537E-02  -.98698382E-02
  0.12100000E-01  0.99993979E+00  -.99514916E-02  -.99520908E-02
  0.12200000E-01  0.99993879E+00  -.10033729E-01  -.10034343E-01
  0.12300000E-01  0.99993779E+00  -.10115967E-01  -.10116596E-01
  0.12400000E-01  0.99993677E+00  -.10198204E-01  -.10198849E-01
  0.12500000E-01  0.99993575E+00  -.10280442E-01  -.10281102E-01
  0.12600000E-01  0.99993471E+00  -.10362679E-01  -.10363355E-01
  0.12700000E-01  0.99993367E+00  -.10444916E-01  -.10445608E-01
  0.12800000E-01  0.99993262E+00  -.10527152E-01  -.10527862E-01
  0.12900000E-01  0.99993157E+00  -.10609389E-01  -.10610115E-01
  0.13000000E-01  0.99993050E+00  -.10691626E-01  -.10692369E-01
  0.13100000E-01  0.99992943E+00  -.10773862E-01  -.10774622E-01
  0.13200000E-01  0.99992835E+00  -.10856098E-01  -.10856876E-01
  0.13300000E-01  0.99992726E+00  -.10938334E-01  -.10939130E-01
  0.13400000E-01  0.99992616E+00  -.11020570E-01  -.11021384E-01
  0.13500000E-01  0.99992505E+00  -.11102806E-01  -.11103638E-01
  0.13600000E-01  0.99992394E+00  -.11185041E-01  -.11185892E-01
  0.13700000E-01  0.99992282E+00  -.11267277E-01  -.11268146E-01
  0.13800000E-01  0.99992169E+00  -.11349512E-01  -.11350401E-01
  0.13900000E-01  0.99992055E+00  -.11431747E-01  -.11432655E-01
  0.14000000E-01  0.99991940E+00  -.11513982E-01  -.11514910E-01
  0.14100000E-01  0.99991824E+00  -.11596216E-01  -.11597164E-01
  0.14200000E-01  0.99991708E+00  -.11678451E-01  -.11679419E-01
  0.14300000E-01  0.99991591E+00  -.11760685E-01  -.11761674E-01
  0.14400000E-01  0.99991473E+00  -.11842919E-01  -.11843929E-01
  0.14500000E-01  0.99991354E+00  -.11925153E-01  -.11926184E-01
  0.14600000E-01  0.99991234E+00  -.12007387E-01  -.12008440E-01
